	Date	Stock	Alert	Price
0	2020-12-01	3MINDIA	Top Third	21945.44921875
1	2020-12-01	AARTIDRUGS	Top Third	705.0499877929688
2	2020-12-01	AARTIIND	Top Third	1156.949951171875
3	2020-12-01	AAVAS	Top Third	1638.4000244140625
4	2020-12-01	ABB	Top Third	1138.050048828125
5	2020-12-01	ABBOTINDIA	Top Third	15398.599609375
6	2020-12-01	ACC	Top Third	1747.9000244140625
7	2020-12-01	ADANIENT	Top Third	421.8999938964844
8	2020-12-01	ADANIGAS	Top Third	360.95001220703125
9	2020-12-01	ADANIGREEN	Top Third	1134.699951171875
10	2020-12-01	ADANIPORTS	Top Third	423.7999877929688
11	2020-12-01	ADANITRANS	Top Third	378.95001220703125
12	2020-12-01	ADVENZYMES	Top Third	360.3500061035156
13	2020-12-01	AEGISCHEM	Top Third	261.54998779296875
14	2020-12-01	AFFLE	Top Third	3589.39990234375
15	2020-12-01	AIAENG	Top Third	1883.800048828125
16	2020-12-01	AJANTPHARM	Top Third	1534.75
17	2020-12-01	AKZOINDIA	Top Third	2130.89990234375
18	2020-12-01	ALKEM	Top Third	2789.050048828125
19	2020-12-01	ALKYLAMINE	Top Third	3967.10009765625
20	2020-12-01	AMARAJABAT	Top Third	922.1500244140624
21	2020-12-01	AMBER	Top Third	2439.10009765625
22	2020-12-01	AMBUJACEM	Top Third	262.0
23	2020-12-01	APLAPOLLO	Top Third	3446.85009765625
24	2020-12-01	APLLTD	Top Third	983.75
25	2020-12-01	APOLLOHOSP	Top Third	2463.0
26	2020-12-01	ASIANPAINT	Top Third	2230.050048828125
27	2020-12-01	ASTERDM	Top Third	172.25
28	2020-12-01	ASTRAL	Top Third	1427.949951171875
29	2020-12-01	ASTRAZEN	Top Third	4528.4501953125
30	2020-12-01	ATUL	Top Third	6202.5498046875
31	2020-12-01	AUROPHARMA	Top Third	897.1500244140625
32	2020-12-01	AXISBANK	Top Third	603.6500244140625
33	2020-12-01	BAJAJELEC	Top Third	590.7000122070312
34	2020-12-01	BAJAJFINSV	Top Third	8746.5498046875
35	2020-12-01	BAJAJHLDNG	Top Third	3094.300048828125
36	2020-12-01	BAJFINANCE	Top Third	4861.10009765625
37	2020-12-01	BALKRISIND	Top Third	1654.75
38	2020-12-01	BALRAMCHIN	Top Third	174.14999389648438
39	2020-12-01	BASF	Top Third	1668.5
40	2020-12-01	BATAINDIA	Top Third	1544.199951171875
41	2020-12-01	BAYERCROP	Top Third	5029.4501953125
42	2020-12-01	BERGEPAINT	Top Third	655.5
43	2020-12-01	BHARATRAS	Top Third	9408.5
