	Date	Stock	Alert	Price
0	2020-11-27	ADANIGAS	Master Breakout	347.8999938964844
1	2020-11-27	AFFLE	Master Breakout	3418.5
2	2020-11-27	ALKYLAMINE	Master Breakout	4015.0
3	2020-11-27	APLAPOLLO	Master Breakout	3378.89990234375
4	2020-11-27	BAJFINANCE	Master Breakout	4908.7998046875
5	2020-11-27	CHOLAFIN	Master Breakout	388.70001220703125
6	2020-11-27	COROMANDEL	Master Breakout	828.3499755859375
7	2020-11-27	DEEPAKNTR	Master Breakout	865.0999755859375
8	2020-11-27	DIVISLAB	Master Breakout	3605.10009765625
9	2020-11-27	DIXON	Master Breakout	11879.7998046875
10	2020-11-27	GARFIBRES	Master Breakout	2227.050048828125
11	2020-11-27	GUJGASLTD	Master Breakout	348.8500061035156
12	2020-11-27	HDFCBANK	Master Breakout	1440.8499755859375
13	2020-11-27	IEX	Master Breakout	217.6999969482422
14	2020-11-27	JKCEMENT	Master Breakout	2029.949951171875
15	2020-11-27	NAUKRI	Master Breakout	4306.35009765625
16	2020-11-27	NH	Master Breakout	386.45001220703125
17	2020-11-27	PGHL	Master Breakout	6868.10009765625
18	2020-11-27	POWERINDIA	Master Breakout	1139.75
19	2020-11-27	RAMCOCEM	Master Breakout	892.1500244140625
20	2020-11-27	VBL	Master Breakout	871.4000244140625
21	2020-11-27	VOLTAS	Master Breakout	806.5999755859375
