Date	Open	High	Low	Close	Adj Close	Volume	EMA_5	EMA_13	EMA_20	EMA_50	EMA_75	EMA_100	EMA_200	EMA_300	EMA_365	RSI_14
2019-08-08	926.0	958.7000122070312	750.0	873.6500244140625	873.6500244140625	8361975										
2019-08-09	844.9500122070312	884.9000244140625	835.2000122070312	843.0499877929688	843.0499877929688	674521										
2019-08-13	849.7000122070312	859.7000122070312	828.0499877929688	832.8499755859375	832.8499755859375	191338										
2019-08-14	833.0999755859375	840.2999877929688	827.2999877929688	835.1500244140625	835.1500244140625	103535										
2019-08-16	822.0	835.0	790.0	805.9000244140625	805.9000244140625	62147	838.1200073242187									
2019-08-19	808.1500244140625	809.0	765.9000244140625	794.2000122070312	794.2000122070312	174671	823.4800089518229									
2019-08-20	798.0	818.0	795.5	804.7000122070312	804.7000122070312	108251	817.2200100368924									
2019-08-21	801.0	810.0	782.7999877929688	789.75	789.75	63189	808.0633400245949									
2019-08-22	790.0	794.4000244140625	776.1500244140625	781.5999755859375	781.5999755859375	37736	799.2422185450424									
2019-08-23	780.0	785.9000244140625	770.5999755859375	777.5	777.5	37357	791.9948123633616									
2019-08-26	790.0	790.0499877929688	779.0	781.2999877929688	781.2999877929688	21221	788.4298708398973									
2019-08-27	781.0999755859375	849.0	781.0999755859375	838.25	838.25	94041	805.0365805599315									
2019-08-28	841.4000244140625	855.5499877929688	827.1500244140625	830.5499877929688	830.5499877929688	38728	813.5410496376106	814.4961547851562								
2019-08-29	832.0	848.9500122070312	820.75	822.4500122070312	822.4500122070312	24272	816.5107038274175	815.6324201311384								
2019-08-30	829.9500122070312	849.0	804.5999755859375	839.2999877929688	839.2999877929688	27978	824.1071318159346	819.0135012256856								42.017191964071685
2019-09-03	838.0	850.0	832.75	835.5999755859375	835.5999755859375	13573	827.9380797392689	821.3829975628644								41.25317379991546
2019-09-04	833.0	849.0999755859375	828.4500122070312	832.9000244140625	832.9000244140625	13675	829.5920612975334	823.0282871130355								40.67199525437348
2019-09-05	833.0999755859375	839.0	826.9500122070312	828.4500122070312	828.4500122070312	8244	829.2113782673661	823.8028192693206								39.67976765427021
2019-09-06	829.0	852.0	825.5499877929688	842.5	842.5	60451	833.6409188449107	826.473845087989								44.30006515112467
2019-09-09	842.0	899.9500122070312	830.2999877929688	847.0	847.0	125023	838.0939458966071	829.406152932562	821.8325012207031							45.73376383107955
2019-09-11	851.0	867.0	835.0	849.7999877929688	849.7999877929688	53619	841.995959862061	832.3195579126201	824.4960713704427							46.65386267359573
2019-09-12	860.0	881.7999877929688	842.0499877929688	857.75	857.75	70367	847.2473065747073	835.9524782108173	827.6631121923053							49.28323834401277
2019-09-13	864.0	909.0	849.0	896.1500244140625	896.1500244140625	90758	863.548212521159	844.5521276684237	834.1856752610441							59.632889529405595
2019-09-16	900.0	949.0	896.1500244140625	940.2999877929688	940.2999877929688	192663	889.1321376117622	858.2303934005016	844.2918002640846							67.77520449862632
2019-09-17	947.0	975.0	916.2000122070312	929.75	929.75	214821	902.6714250745082	868.4474800575728	852.4306764294099							64.43079082955333
2019-09-18	934.9000244140625	958.7999877929688	895.9000244140625	948.5999755859375	948.5999755859375	91070	917.9809419116513	879.8978365616249	861.5896573014602							67.51520572752163
2019-09-19	950.0	972.0	927.0	940.1500244140625	940.1500244140625	70566	925.3706360791217	888.505291969116	869.0715970264699							64.80240557394907
2019-09-20	935.0	995.0	931.5499877929688	972.9500122070312	972.9500122070312	127238	941.2304281217582	900.5688234316754	878.9647794246187							69.86418596740879
2019-09-23	989.9500122070312	1005.0	977.0	999.7999877929688	999.7999877929688	78040	960.7536146788284	914.7447040547173	890.4728945073186							73.25488805054286
2019-09-24	981.2000122070312	1000.0	972.0	984.4000244140625	984.4000244140625	38794	968.6357512572398	924.6954641060523	899.4183354508181							68.49469958732435
2019-09-25	983.5999755859375	1104.300048828125	967.0999755859375	1081.4000244140625	1081.4000244140625	324188	1006.223842309514	947.0818298643395	916.749924875889							78.1332004697783
2019-09-26	1108.0	1190.0	1090.050048828125	1174.3499755859375	1174.3499755859375	220749	1062.2658867349885	979.5487078245678	941.2832630387508							83.38022524648959
2019-09-27	1191.0	1220.0	1147.0	1202.4000244140625	1202.4000244140625	313857	1108.9772659613466	1011.3846101944956	966.1515260268757							84.58251864469209
2019-09-30	1200.0	1225.0	1102.5999755859375	1125.300048828125	1125.300048828125	120404	1114.4181935836061	1027.658244285014	981.3085281984232							69.66475434003601
2019-10-01	1125.0	1160.0	1046.25	1079.6500244140625	1079.6500244140625	80067	1102.8288038604248	1035.0856414463067	990.674384980865							62.62230642109093
2019-10-03	1073.8499755859375	1138.0	1035.25	1075.050048828125	1075.050048828125	83171	1093.5692188496582	1040.7948425008522	998.7101624901279							61.94278916991266
2019-10-04	1085.0	1154.8499755859375	1085.0	1112.9000244140625	1112.9000244140625	84305	1100.0128207044597	1051.095582774168	1009.5853874352646							65.28113768414711
2019-10-07	1129.0	1158.699951171875	1101.0	1105.699951171875	1105.699951171875	72633	1101.9085308602648	1058.8962068309831	1018.7391554101798							64.12873728449965
2019-10-09	1115.949951171875	1269.0	1093.0	1234.0999755859375	1234.0999755859375	236537	1145.9723457688224	1083.9253166531196	1039.249709712633							73.21085948990326
2019-10-10	1239.0	1294.5999755859375	1190.0	1198.199951171875	1198.199951171875	200638	1163.38154756984	1100.2502644415133	1054.3878279468465							68.02496890485095
2019-10-11	1209.4000244140625	1224.0	1160.0	1187.0	1187.0	88360	1171.25436504656	1112.6430838070114	1067.0175586185753							66.44369292021676
2019-10-14	1192.0	1245.0	1182.199951171875	1200.9000244140625	1200.9000244140625	115142	1181.136251502394	1125.2512181794473	1079.768269646717							67.45482988253586
2019-10-15	1209.0	1220.1500244140625	1160.3499755859375	1167.1500244140625	1167.1500244140625	67284	1176.4741758062835	1131.2367619272495	1088.0903415293214							62.52815043069956
2019-10-16	1167.9000244140625	1220.0	1164.0999755859375	1178.0	1178.0	74289	1176.9827838708557	1137.917224509071	1096.6531661455765							63.452297318729165
2019-10-17	1181.0999755859375	1197.0	1140.0	1151.1500244140625	1151.1500244140625	87417	1168.3718640519246	1139.8076244954984	1101.8433431235276							59.53904748469137
2019-10-18	1159.5999755859375	1224.9000244140625	1153.25	1197.9000244140625	1197.9000244140625	166021	1178.2145841726372	1148.106538769579	1110.9915984845309							63.73300650666825
2019-10-22	1195.199951171875	1253.0	1185.300048828125	1217.949951171875	1217.949951171875	158999	1191.4597065057164	1158.0841691127641	1121.1781082642779							65.38994442079074
2019-10-23	1245.0	1460.0	1233.5999755859375	1397.5	1397.5	781328	1260.1398043371444	1192.2864306680835	1147.4944789057752							75.97537822876289
2019-10-24	1413.0	1439.0	1296.0	1362.949951171875	1362.949951171875	343408	1294.4098532820547	1216.6669335971967	1168.0140476930228							71.447044227851
2019-10-25	1370.0	1438.0	1360.5	1420.75	1420.75	291922	1336.5232355213698	1245.8216573690258	1192.0841383889253	992.532001953125						74.21579318756706
2019-10-29	1474.9000244140625	1474.9000244140625	1421.5999755859375	1438.949951171875	1438.949951171875	80272	1370.6654740715383	1273.4114136265757	1215.5951681777776	1010.0385881969976						75.03664024231867
2019-10-30	1440.0999755859375	1454.9000244140625	1421.0	1428.0	1428.0	48795	1389.7769827143588	1295.4954973942079	1235.8241997798941	1026.4292317971153						73.52014358294807
2019-10-31	1434.5999755859375	1447.699951171875	1375.1500244140625	1387.550048828125	1387.550048828125	67735	1389.0346714189475	1308.6461475990532	1250.2742806416304	1040.5908324649981						68.04897416970479
2019-11-01	1398.449951171875	1428.0	1385.0999755859375	1397.1500244140625	1397.1500244140625	60715	1391.739789083986	1321.289558572626	1264.2624467151954	1054.5735458747654						68.64533996005372
2019-11-04	1407.9000244140625	1461.0	1395.0	1417.9000244140625	1417.9000244140625	114612	1400.4598675273448	1335.091053692831	1278.8945969722304	1068.8216430723849						69.9508861495335
2019-11-05	1420.0	1427.9000244140625	1377.0	1388.050048828125	1388.050048828125	42076	1396.3232612942716	1342.6566244264445	1289.2903542918393	1081.340404082414						65.71205830411006
2019-11-06	1385.0	1443.9000244140625	1360.25	1373.0	1373.0	90442	1388.5488408628478	1346.9913923655238	1297.2627015021403	1092.7780352948682						63.618828836242734
2019-11-07	1385.0	1393.0	1340.0	1356.3499755859375	1356.3499755859375	63054	1377.8158857705444	1348.328332825583	1302.8900609386924	1103.1141898160865						61.29265662275426
2019-11-08	1388.0	1428.0	1366.300048828125	1395.75	1395.75	273487	1383.7939238470296	1355.1028567076426	1311.7338646588169	1114.590103940946						64.59197479584695
2019-11-11	1530.0	1530.0	1405.0	1482.75	1482.75	748480	1416.7792825646864	1373.338162892265	1328.0211156436915	1129.027746923654						70.55937659653982
2019-11-13	1508.8499755859375	1678.0	1500.1500244140625	1650.550048828125	1650.550048828125	658722	1494.702871319166	1412.9398608831023	1358.738156899352	1149.4796019003						78.19308178620744
2019-11-14	1665.0	1704.25	1585.0	1663.800048828125	1663.800048828125	442580	1551.0685971554856	1448.777030589534	1387.7916704163779	1169.6490311915873						78.6635380615257
2019-11-15	1677.0	1684.0	1620.0	1638.4000244140625	1638.4000244140625	206305	1580.1790729083446	1475.8660297073238	1411.6591327018716	1188.0314230826648						75.30942837082478
2019-11-18	1648.800048828125	1675.0	1626.949951171875	1636.6500244140625	1636.6500244140625	140123	1599.0027234102506	1498.8351718082865	1433.0868366744612	1205.6243094093863						75.07192491389726
2019-11-19	1645.0	1649.0	1607.25	1624.949951171875	1624.949951171875	75513	1607.651799330792	1516.8515688602276	1451.3595142456434	1222.0684522236015						73.40512983181216
2019-11-20	1629.949951171875	1648.0	1620.0	1633.75	1633.75	83129	1616.3511995538613	1533.551344737338	1468.7300366984393	1238.2128266462055						73.87496202747042
2019-11-21	1633.75	1727.9000244140625	1622.5999755859375	1689.550048828125	1689.550048828125	331751	1640.750815978616	1555.8368738931647	1489.7605140441237	1255.9123255553004						76.68732394640938
2019-11-22	1702.9000244140625	1739.0	1674.0	1689.1500244140625	1689.1500244140625	286764	1656.8838854570981	1574.8816096818643	1508.749991222213	1272.9020392360362						76.62364238940535
2019-11-25	1670.75	1693.0	1567.0	1584.25	1584.25	167505	1632.672590304732	1576.2199511558838	1515.940468248669	1285.1117631875643						62.06799349727593
2019-11-26	1584.800048828125	1608.699951171875	1528.0	1547.8499755859375	1547.8499755859375	155440	1604.398385398467	1572.1670975030343	1518.9794689474566	1295.4152224973045						57.95400563528656
2019-11-27	1550.0	1601.75	1550.0	1587.9000244140625	1587.9000244140625	129652	1598.898931736999	1574.414658490324	1525.5433313728477	1306.8852147293342						61.01576055430221
2019-11-28	1598.0	1619.800048828125	1550.0	1567.5999755859375	1567.5999755859375	120084	1588.465946353312	1573.441132361126	1529.5487260598086	1317.1093229982205						58.683172243129754
2019-11-29	1570.0	1578.0	1502.25	1521.449951171875	1521.449951171875	83186	1566.127281292833	1566.0138207626615	1528.7774141657196	1325.1226809658149						53.6607593215311
