Date	Open	High	Low	Close	Adj Close	Volume
2002-07-01	5.25	5.349999904632568	5.125	5.275000095367432	1.7426666021347046	121880
2002-07-02	5.324999809265137	5.5	5.25	5.462500095367432	1.804610013961792	231080
2002-07-03	5.525000095367432	5.525000095367432	5.3125	5.400000095367432	1.7839622497558594	218240
2002-07-04	5.487500190734863	5.712500095367432	5.4375	5.550000190734863	1.8335164785385132	354252
2002-07-05	5.6875	5.6875	5.375	5.4375	1.7963504791259766	272724
2002-07-08	5.5	6.525000095367432	5.4375	6.199999809265137	2.048253297805786	1308144
2002-07-09	6.474999904632568	6.474999904632568	6.025000095367432	6.074999809265137	2.0069572925567627	424868
2002-07-10	6.375	6.375	5.762499809265137	5.8125	1.9202371835708618	197460
2002-07-11	5.8125	5.949999809265137	5.75	5.862500190734863	1.9367552995681763	191124
2002-07-12	5.875	6.0625	5.650000095367432	5.724999904632568	1.8913302421569824	126332
2002-07-15	5.699999809265137	5.875	5.375	5.574999809265137	1.84177565574646	88052
2002-07-16	5.5625	5.75	5.474999904632568	5.512499809265137	1.8211278915405273	86320
2002-07-17	5.474999904632568	5.5	5.224999904632568	5.349999904632568	2.0457818508148193	77400
2002-07-18	5.449999809265137	5.587500095367432	5.3125	5.5	2.1031405925750732	79652
2002-07-19	5.287499904632568	5.599999904632568	5.287499904632568	5.5	2.1031405925750732	56440
2002-07-22	5.025000095367432	5.275000095367432	4.912499904632568	5.050000190734863	1.9310650825500488	51304
2002-07-23	5.050000190734863	5.375	4.787499904632568	5.199999809265137	1.9884231090545654	110144
2002-07-24	5.099999904632568	5.324999809265137	5.074999809265137	5.1875	1.9836431741714478	83856
2002-07-25	5.275000095367432	5.375	5.125	5.275000095367432	2.0171027183532715	82932
2002-07-26	5.150000095367432	5.150000095367432	4.9375	5.050000190734863	1.9310650825500488	273112
2002-07-29	5.137499809265137	5.224999904632568	4.800000190734863	5.1875	1.9836431741714478	239552
2002-07-30	5.199999809265137	5.349999904632568	4.949999809265137	5.012499809265137	1.9167250394821167	282800
2002-07-31	4.887499809265137	5.449999809265137	4.875	5.25	2.007542610168457	72000
2002-08-01	5.150000095367432	5.25	4.875	5.112500190734863	1.9549652338027954	444644
2002-08-02	5.012499809265137	5.025000095367432	4.875	4.962500095367432	1.8976057767868042	19180
2002-08-05	4.875	5.175000190734863	4.875	5.0	1.9119455814361572	54172
2002-08-06	5.112500190734863	5.125	4.949999809265137	4.987500190734863	1.90716552734375	85332
2002-08-07	5.0	5.125	5.0	5.0625	1.9358447790145874	14244
2002-08-08	5.175000190734863	5.237500190734863	4.925000190734863	4.925000190734863	1.8832664489746094	25504
2002-08-09	5.074999809265137	5.087500095367432	4.887499809265137	4.925000190734863	1.8832664489746094	10600
2002-08-12	5.074999809265137	5.074999809265137	4.875	4.900000095367432	1.8737062215805054	8220
2002-08-13	4.875	5.125	4.875	5.099999904632568	1.9501843452453613	16808
2002-08-14	5.025000095367432	5.025000095367432	4.712500095367432	4.737500190734863	1.8115689754486084	27600
2002-08-15	4.737500190734863	4.737500190734863	4.737500190734863	4.737500190734863	1.8115689754486084	0
2002-08-16	4.8125	4.887499809265137	4.712500095367432	4.724999904632568	1.806788444519043	32000
2002-08-19	4.837500095367432	4.849999904632568	4.699999809265137	4.787499904632568	1.830687403678894	32616
2002-08-20	4.75	4.824999809265137	4.699999809265137	4.724999904632568	1.806788444519043	16804
2002-08-21	4.75	4.925000190734863	4.699999809265137	4.849999904632568	1.8545870780944824	12136
2002-08-22	4.824999809265137	4.925000190734863	4.824999809265137	4.875	1.8641464710235596	22200
2002-08-23	5.0	5.087500095367432	4.887499809265137	5.0	1.9119455814361572	50896
2002-08-26	4.9375	5.0	4.900000095367432	4.949999809265137	1.8928261995315552	116596
2002-08-27	4.912499904632568	5.025000095367432	4.837500095367432	4.875	1.8641464710235596	183612
2002-08-28	4.9375	4.949999809265137	4.650000095367432	4.675000190734863	1.7876689434051514	104060
2002-08-29	4.737500190734863	4.737500190734863	4.512499809265137	4.5625	1.7446503639221191	39916
2002-08-30	4.625	4.625	4.387499809265137	4.462500095367432	1.7064117193222046	22588
2002-09-02	4.662499904632568	4.699999809265137	4.5	4.525000095367432	1.7303109169006348	56444
2002-09-03	4.550000190734863	4.574999809265137	4.0625	4.387499809265137	1.677731990814209	46540
